unix,date,symbol,open,high,low,close,Volume COOL,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1682726400000,2023-04-29 00:00:00,COOL/USDT,2602.31,2602.31,2602.31,2602.31,0,0,0,0,0,2602.31
1682640000000,2023-04-28 00:00:00,COOL/USDT,2602.31,2602.31,2602.31,2602.31,0,0,0,0,0,2602.31
1682553600000,2023-04-27 00:00:00,COOL/USDT,2602.31,2602.31,2602.31,2602.31,0,0,0,0,0,2602.31
1682467200000,2023-04-26 00:00:00,COOL/USDT,2602.31,2602.31,2602.31,2602.31,0.24,0.000094,0,0,2,2602.31
1682380800000,2023-04-25 00:00:00,COOL/USDT,2603,2603,2602.31,2602.31,19.92,0.007656,0,0,2,2602.48
1682294400000,2023-04-24 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2917.42
1682208000000,2023-04-23 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2917.42
1682121600000,2023-04-22 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2917.42
1682035200000,2023-04-21 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2917.42
1681948800000,2023-04-20 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2917.42
1681862400000,2023-04-19 00:00:00,COOL/USDT,2919.62,2919.62,2915.04,2915.04,6.52,0.002237,0,0,2,2917.42
1681776000000,2023-04-18 00:00:00,COOL/USDT,3299,3299,3299,3299,0,0,0,0,0,3139.53
1681689600000,2023-04-17 00:00:00,COOL/USDT,3299,3299,3299,3299,0,0,0,0,0,3139.53
1681603200000,2023-04-16 00:00:00,COOL/USDT,3299,3299,3299,3299,0,0,0,0,0,3139.53
1681516800000,2023-04-15 00:00:00,COOL/USDT,3099,3299,3099,3299,2.5,0.000799,2.5,0.000799,2,3139.53
1681430400000,2023-04-14 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,3.36,0.001155,0,0,1,2915.04
1681344000000,2023-04-13 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1681257600000,2023-04-12 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0.27,0.000094,0,0,1,2915.04
1681171200000,2023-04-11 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1681084800000,2023-04-10 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1680998400000,2023-04-09 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1680912000000,2023-04-08 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1680825600000,2023-04-07 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1680739200000,2023-04-06 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1680652800000,2023-04-05 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1680566400000,2023-04-04 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,3.8,0.001307,0,0,1,2915.04
1680480000000,2023-04-03 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2922.2
1680393600000,2023-04-02 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2922.2
