unix,date,symbol,open,high,low,close,Volume XRP,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1747699200000,2025-05-20 00:00:00,XRP/USDD,2.3896,2.3896,2.3896,2.3896,0,0,0,0,0,2.3539
1747612800000,2025-05-19 00:00:00,XRP/USDD,2.4374,2.4374,2.2977,2.3896,23.9367,10.1739,9.654,4,5,2.3539
1747526400000,2025-05-18 00:00:00,XRP/USDD,2.4374,2.4374,2.3437,2.3437,9.5622,4,4.8748,2,2,2.3914
1747440000000,2025-05-17 00:00:00,XRP/USDD,2.3437,2.3437,2.333,2.333,648.8794,278.1179,0,0,3,2.3331
1747353600000,2025-05-16 00:00:00,XRP/USDD,2.3906,2.3906,2.3906,2.3906,0,0,0,0,0,2.4514
1747267200000,2025-05-15 00:00:00,XRP/USDD,2.5369,2.5369,2.3906,2.3906,24.7061,10.0833,0,0,6,2.4514
1747180800000,2025-05-14 00:00:00,XRP/USDD,2.6384,2.6384,2.5372,2.5372,115.7591,45.545,5.2768,2,2,2.5418
1747094400000,2025-05-13 00:00:00,XRP/USDD,2.4384,2.5867,2.4384,2.5867,15.122,6,10.2452,4,3,2.5218
1747008000000,2025-05-12 00:00:00,XRP/USDD,2.4374,2.6,2.4374,2.4872,49.0951,19.3914,25.9164,10.2751,14,2.5328
1746921600000,2025-05-11 00:00:00,XRP/USDD,2.3437,2.3437,2.3437,2.3437,4.6874,2,0,0,1,2.3437
1746835200000,2025-05-10 00:00:00,XRP/USDD,2.4374,2.4599,2.4374,2.4599,10.4713,4.2751,10.4713,4.2751,3,2.4494
1746748800000,2025-05-09 00:00:00,XRP/USDD,2.2967,2.3896,2.2967,2.3896,11.3849,4.8047,11.3849,4.8047,6,2.3697
1746662400000,2025-05-08 00:00:00,XRP/USDD,2.2075,2.2967,2.2075,2.2967,139.0884,61.8702,139.0884,61.8702,5,2.2483
1746576000000,2025-05-07 00:00:00,XRP/USDD,2.1642,2.1642,2.0811,2.0811,9.1727,4.3278,4.3284,2,2,2.1203
1746489600000,2025-05-06 00:00:00,XRP/USDD,2.081,2.081,2.081,2.081,4.162,2,0,0,1,2.081
