unix,date,symbol,open,high,low,close,Volume XMR,Volume BTC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1747526400000,2025-05-18 00:00:00,XMR/BTC,0.003292,0.003326,0.003188,0.003188,2.435688,740.68,0.06152,18.75,1187,0.003288
1747440000000,2025-05-17 00:00:00,XMR/BTC,0.003246,0.003319,0.003244,0.003292,2.947826,895.05,0.217537,65.86,1871,0.003293
1747353600000,2025-05-16 00:00:00,XMR/BTC,0.003244,0.003341,0.003213,0.003286,3.095343,941.59,0.203489,61.92,2134,0.003287
1747267200000,2025-05-15 00:00:00,XMR/BTC,0.003284,0.003427,0.003219,0.00324,1.495414,447.92,0.679129,201.73,957,0.003339
1747180800000,2025-05-14 00:00:00,XMR/BTC,0.003273,0.003364,0.003252,0.003268,0.737137,221.69,0.382822,114.96,391,0.003325
1747094400000,2025-05-13 00:00:00,XMR/BTC,0.0033,0.003333,0.003234,0.003281,1.450887,441.2,1.306487,396.98,974,0.003288
1747008000000,2025-05-12 00:00:00,XMR/BTC,0.003189,0.00335,0.003162,0.003303,0.545316,165.88,0.393802,119.42,544,0.003287
1746921600000,2025-05-11 00:00:00,XMR/BTC,0.003095,0.003284,0.003065,0.003189,1.979094,623.69,0.477903,148.81,1092,0.003173
1746835200000,2025-05-10 00:00:00,XMR/BTC,0.003064,0.003219,0.003007,0.003095,3.425841,1098.04,1.549553,497.1,1474,0.00312
1746748800000,2025-05-09 00:00:00,XMR/BTC,0.002893,0.003064,0.002868,0.003064,0.97766,330.65,0.634255,214.39,568,0.002957
1746662400000,2025-05-08 00:00:00,XMR/BTC,0.002914,0.002994,0.002863,0.00292,1.630613,560,0.554282,189.85,680,0.002911
1746576000000,2025-05-07 00:00:00,XMR/BTC,0.002984,0.003008,0.002864,0.00291,2.631739,888.29,0.282518,95.01,1465,0.002963
1746489600000,2025-05-06 00:00:00,XMR/BTC,0.002959,0.003097,0.00292,0.002974,2.751086,906.05,0.765293,252.44,1095,0.003036
1746403200000,2025-05-05 00:00:00,XMR/BTC,0.002963,0.002979,0.002871,0.002959,0.637868,217.88,0.222064,75.48,625,0.002927
1746316800000,2025-05-04 00:00:00,XMR/BTC,0.002907,0.00296,0.002787,0.00296,0.819952,286.72,0.286508,99.29,618,0.00286
1746230400000,2025-05-03 00:00:00,XMR/BTC,0.002938,0.002965,0.002838,0.002911,2.246577,768.18,0.398069,136.71,742,0.002924
1746144000000,2025-05-02 00:00:00,XMR/BTC,0.002817,0.002976,0.0028,0.002939,2.819169,969.33,0.757134,260.59,1491,0.002908
1746057600000,2025-05-01 00:00:00,XMR/BTC,0.002966,0.00305,0.002815,0.002826,4.935731,1713.95,1.288306,443.08,2394,0.00288
1745971200000,2025-04-30 00:00:00,XMR/BTC,0.002869,0.00296,0.002809,0.00296,4.584574,1574.24,1.9564,670.07,1800,0.002912
1745884800000,2025-04-29 00:00:00,XMR/BTC,0.002728,0.002946,0.002728,0.002873,3.887673,1351.86,1.949716,677.29,1594,0.002876
1745798400000,2025-04-28 00:00:00,XMR/BTC,0.002507,0.00325,0.002505,0.002728,10.303959,3620.62,5.086359,1767.27,3889,0.002853
1745712000000,2025-04-27 00:00:00,XMR/BTC,0.002436,0.002506,0.002425,0.002504,2.401571,974.33,1.308564,528.42,663,0.002465
1745625600000,2025-04-26 00:00:00,XMR/BTC,0.002398,0.002475,0.002398,0.002437,1.641738,674.89,1.081169,442.97,243,0.002432
1745539200000,2025-04-25 00:00:00,XMR/BTC,0.002436,0.002456,0.002374,0.0024,1.000194,415.21,0.477894,197.26,405,0.002409
1745452800000,2025-04-24 00:00:00,XMR/BTC,0.002465,0.002465,0.002368,0.002437,0.92614,383.15,0.372364,152.97,301,0.002417
1745366400000,2025-04-23 00:00:00,XMR/BTC,0.002426,0.002468,0.002388,0.002453,1.211738,497.96,0.514424,209.68,477,0.002433
1745280000000,2025-04-22 00:00:00,XMR/BTC,0.002445,0.002451,0.002406,0.002406,0.525432,215.76,0.29256,119.52,401,0.002435
1745193600000,2025-04-21 00:00:00,XMR/BTC,0.002526,0.002526,0.002435,0.00245,3.23691,1305.91,0.281639,113.36,1304,0.002478
1745107200000,2025-04-20 00:00:00,XMR/BTC,0.002552,0.002613,0.002527,0.002527,1.472242,572.88,0.163238,63.03,1054,0.00257
1745020800000,2025-04-19 00:00:00,XMR/BTC,0.002552,0.002562,0.002475,0.002552,1.974098,783.34,0.317299,124.92,1498,0.00252
1744934400000,2025-04-18 00:00:00,XMR/BTC,0.002532,0.002615,0.002532,0.002553,0.676516,261.32,0.210967,81.57,255,0.002588
1744848000000,2025-04-17 00:00:00,XMR/BTC,0.002585,0.002602,0.002537,0.002537,0.160999,62.89,0.005584,2.15,206,0.00256
1744761600000,2025-04-16 00:00:00,XMR/BTC,0.002592,0.00265,0.002556,0.002576,2.713739,1043.76,0.652901,249.43,1287,0.0026
1744675200000,2025-04-15 00:00:00,XMR/BTC,0.002508,0.002592,0.002483,0.002592,1.315771,521.45,0.581985,229.12,639,0.002523
1744588800000,2025-04-14 00:00:00,XMR/BTC,0.002425,0.002541,0.002411,0.002521,1.094076,440.47,0.397727,159.84,590,0.002484
1744502400000,2025-04-13 00:00:00,XMR/BTC,0.002454,0.002492,0.002357,0.002433,3.183074,1300.24,0.591407,241.69,1511,0.002448
1744416000000,2025-04-12 00:00:00,XMR/BTC,0.002477,0.002524,0.00242,0.002448,8.25298,3345.94,0.216351,86.54,4011,0.002466
1744329600000,2025-04-11 00:00:00,XMR/BTC,0.00254,0.00254,0.002435,0.002478,5.730556,2312.29,0.205764,82.83,1150,0.002478
1744243200000,2025-04-10 00:00:00,XMR/BTC,0.002451,0.002555,0.002451,0.00253,3.807403,1518.92,1.129135,450.57,1320,0.002507
1744156800000,2025-04-09 00:00:00,XMR/BTC,0.002557,0.002597,0.002437,0.002452,4.604621,1832.41,2.267637,898,1472,0.002513
1744070400000,2025-04-08 00:00:00,XMR/BTC,0.002575,0.002617,0.002534,0.002557,2.963058,1146.18,0.686387,265.29,1672,0.002585
1743984000000,2025-04-07 00:00:00,XMR/BTC,0.002565,0.002611,0.00246,0.00257,3.101897,1216.31,0.971669,381.12,1955,0.00255
