unix,date,symbol,open,high,low,close,Volume CORN,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1689292800000,2023-07-14 00:00:00,CORN/USDT,6.02,6.02,6.02,6.02,0,0,0,0,0,7.44
1689206400000,2023-07-13 00:00:00,CORN/USDT,8.01,8.01,6.02,6.02,43.17,5.873601,0,0,7,7.44
1689120000000,2023-07-12 00:00:00,CORN/USDT,8.01,8.01,8.01,8.01,0,0,0,0,0,8.01
1689033600000,2023-07-11 00:00:00,CORN/USDT,8.01,8.01,8.01,8.01,0,0,0,0,0,8.01
1688947200000,2023-07-10 00:00:00,CORN/USDT,8.01,8.01,8.01,8.01,0,0,0,0,0,8.01
1688860800000,2023-07-09 00:00:00,CORN/USDT,8.01,8.01,8.01,8.01,0,0,0,0,0,8.01
1688774400000,2023-07-08 00:00:00,CORN/USDT,8.01,8.01,8.01,8.01,7.96,0.993976,0,0,1,8.01
1688688000000,2023-07-07 00:00:00,CORN/USDT,8,8,8,8,0,0,0,0,0,9.06
1688601600000,2023-07-06 00:00:00,CORN/USDT,8,8,8,8,0,0,0,0,0,9.06
1688515200000,2023-07-05 00:00:00,CORN/USDT,8,8,8,8,0,0,0,0,0,9.06
1688428800000,2023-07-04 00:00:00,CORN/USDT,8,8,8,8,0,0,0,0,0,9.06
1688342400000,2023-07-03 00:00:00,CORN/USDT,10.26,10.26,8,8,4.46,0.5,2.05,0.2,4,9.06
1688256000000,2023-07-02 00:00:00,CORN/USDT,8.01,8.01,8.01,8.01,0,0,0,0,0,8.01
1688169600000,2023-07-01 00:00:00,CORN/USDT,8.01,8.01,8.01,8.01,0,0,0,0,0,8.01
1688083200000,2023-06-30 00:00:00,CORN/USDT,8.01,8.01,8.01,8.01,0,0,0,0,0,8.01
1687996800000,2023-06-29 00:00:00,CORN/USDT,8.01,8.01,8.01,8.01,0,0,0,0,0,8.01
1687910400000,2023-06-28 00:00:00,CORN/USDT,8.01,8.01,8.01,8.01,0,0,0,0,0,8.01
1687824000000,2023-06-27 00:00:00,CORN/USDT,8.01,8.01,8.01,8.01,0,0,0,0,0,8.01
1687737600000,2023-06-26 00:00:00,CORN/USDT,8.01,8.01,8.01,8.01,0,0,0,0,0,8.01
1687651200000,2023-06-25 00:00:00,CORN/USDT,8.01,8.01,8.01,8.01,0,0,0,0,0,8.01
1687564800000,2023-06-24 00:00:00,CORN/USDT,8.01,8.01,8.01,8.01,0,0.000355,0,0,1,8.01
1687478400000,2023-06-23 00:00:00,CORN/USDT,8.77,8.77,8.77,8.77,0,0,0,0,0,8.77
1687392000000,2023-06-22 00:00:00,CORN/USDT,8.77,8.77,8.77,8.77,0.06,0.007,0.06,0.007,1,8.77
1687305600000,2023-06-21 00:00:00,CORN/USDT,8.5,8.5,8.5,8.5,0,0,0,0,0,8.49
1687219200000,2023-06-20 00:00:00,CORN/USDT,8.5,8.5,8.5,8.5,0,0,0,0,0,8.49
1687132800000,2023-06-19 00:00:00,CORN/USDT,8.5,8.5,8.5,8.5,0,0,0,0,0,8.49
1687046400000,2023-06-18 00:00:00,CORN/USDT,8.5,8.5,8.5,8.5,0,0,0,0,0,8.49
1686960000000,2023-06-17 00:00:00,CORN/USDT,8.5,8.5,8.5,8.5,0,0,0,0,0,8.49
